Curso,Disciplina,Aula,Título da Aula,Objetivo de Aprendizagem,Conteúdo Estruturado,Conceitos-Chave,Exemplos Práticos,Exercícios,Nível de Dificuldade,Pré-requisitos,Carga Horária,Roteiro de Vídeo,Referências Técnicas
Técnico em Enfermagem,Método de Pesquisa,27,Como a Ciência Funciona,Formular hipóteses clínicas baseadas na observação do cotidiano.,Introdução ao tema: O nascimento da pesquisa.Fundamentação teórica: Formulação de problemas mensuráveis e hipóteses .  Aplicação prática: Identificar uma falha no plantão (ex: alta infecção) e estruturar metas gerais e específicas .  +2Erros comuns: Criar problemas não observáveis ou ignorar os referenciais bibliográficos na proposição .  Resumo final: A pesquisa começa delimitando o problema com exatidão.  +2,Hipótese e Problema; Objetivos Mensuráveis.  +3,"Investigar empiricamente a taxa de acesso venoso perdido na unidade, criando uma hipótese de pesquisa.  +2",1. Diferencie o objetivo geral dos objetivos específicos na estruturação de um trabalho acadêmico de saúde.  +2,Intermediário,Aula 26,13 minutos,"Abertura: ""Toda descoberta na medicina começou com uma pergunta bem feita.""Explicação didática progressiva: Formulação do problema e hipótese (mensurável/quantificável) .  Exemplo prático narrado: O enfermeiro que virou cientista na própria UTI .  +2Recapitulação: A justificativa como pilar.  +2Encerramento: Questione a rotina, ache a resposta.",Diretrizes de Projetos PUC Minas.  +2
Técnico em Enfermagem,Método de Pesquisa,28,TCC e Normas ABNT,Aplicar o rigor da escrita científica em normas padronizadas brasileiras.,"Introdução ao tema: Padronização visual da ciência.Fundamentação teórica: Normas da ABNT para seções, tipografia e espaçamento .  +2Aplicação prática: Configuração de sumários, referências e listas de símbolos em documentos .  +3Erros comuns: Citar autores não lidos ou ignorar as margens obrigatórias .  +3Resumo final: A ABNT garante universalidade, permitindo que a pesquisa seja compreendida de forma idêntica por todos.  +2",Padronização ABNT; Elementos pós-textuais.  +3,Utilizar margens padrão de 3cm e 2cm e espaçamento simples nas referências de um TCC.  +3,1. Como deve ser organizada a lista de referências ao final do artigo segundo a ABNT?.  +1,Alto,Aula 27,15 minutos,"Abertura: ""A ABNT parece o vilão do TCC, mas ela é a linguagem universal.""Explicação didática progressiva: Margens, espaçamentos e títulos nas seções primárias e secundárias .  +3Exemplo prático narrado: Formatando referências no final do TCC .  +3Recapitulação: Sumário automático e anexos.  +3Encerramento: A regra cria padrão, o padrão gera credibilidade.",Diretrizes de Projetos PUC Minas.  +2
Técnico em Enfermagem,Método de Pesquisa,29,Fontes Não Confiáveis e Plágio,Diferenciar citações legítimas e buscas válidas em sistemas de indexação.,Introdução ao tema: Onde buscar a verdade científica.Fundamentação teórica: Bases como LILACS e SciELO .  +2Aplicação prática: Citações autor-data no corpo do texto e elaboração correta de rodapés explicativos .  +3Erros comuns: Utilizar citações sem referência ou grifar partes sem indicar 'grifo nosso' .  Resumo final: Ética científica obriga o pesquisador a dar crédito exato através do sistema de referências rigoroso.,SciELO/LILACS; Citação e Plágio.  +2,Formatar citação de livro e de portal eletrônico para evitar acusações de plágio.  +2,1. Como indicar ênfase em uma citação que já foi traduzida por você?.,Intermediário,Aula 28,12 minutos,"Abertura: ""Copiar e colar é roubo intelectual.""Explicação didática progressiva: Como citar e parafrasear corretamente sem plagiar .  +2Exemplo prático narrado: Buscando artigos seguros no SciELO .  +2Recapitulação: Citação de sites, vídeos e entrevistas.  +3Encerramento: Acredite nas fontes validadas.",Diretrizes de Projetos PUC Minas.  +2
Técnico em Enfermagem,Método de Pesquisa,30,Resumo: A Evolução da Enfermagem,Refletir sobre a construção contínua das diretrizes assistenciais.,Introdução ao tema: A conclusão e aplicação do estudo .  Fundamentação teórica: Pesquisa clínica impactando o dia-a-dia do enfermeiro .  +1Aplicação prática: Comparar os achados com a literatura e modificar rotinas defasadas na enfermaria .  Erros comuns: Terminar a pesquisa e engavetá-la sem aplicar nas rotinas de segurança da unidade.Resumo final: Sintetizar os resultados ressaltando consequências diretas do estudo clínico revoluciona a saúde.,Considerações Finais; Inovação no Ensino.  +1,Escrever a consideração final de um TCC propondo novos POPs para a ala hospitalar.  +1,"1. Segundo as normas técnicas, qual é o objetivo das ""Considerações Finais"" no artigo científico?.  ",Básico,Aula 29,9 minutos,"Abertura: ""De nada adianta descobrir a cura se ela ficar numa prateleira.""Explicação didática progressiva: Interpretação de dados no TCC .  Exemplo prático narrado: A pesquisa que mudou o protocolo de punção venosa no hospital .  Recapitulação: Considerações finais que trazem impacto.  Encerramento: Faça ciência que altera realidades.",Diretrizes de Projetos PUC Minas.
Técnico em Enfermagem,Prática Profissional e Atendimento Básico à Saúde,31,Da Teoria ao Leito,Exercer os saberes em ambiente contínuo de 24 horas.,"Introdução ao tema: A enfermagem como força matriz e presencial.Fundamentação teórica: Prestar assistência direta e contínua baseada no saber científico .  Aplicação prática: Cuidar do processo saúde-doença além da dimensão biológica, num espaço complexo .  +1Erros comuns: Negligenciar a dimensão da técnica ao assumir postura relapsa nos primeiros contatos .  Resumo final: O cuidado beira leito impõe ao futuro profissional uma capacitação constante da técnica que foi aprendida em sala.  +2",Saber Clínico Especializado; Cuidado Direto.  +4,"Observar o fluxo ininterrupto de 24h em uma UTI, garantindo cuidado seguro à noite.  +3",1. Por que o profissional de enfermagem precisa dominar a teoria de controle de infecção antes de atuar no leito?.,Intermediário,Todas,12 minutos,"Abertura: ""A teoria no papel é limpa; no leito, ela exige suor e ciência.""Explicação didática progressiva: O processo ininterrupto das 24h e o saber especializado .  +4Exemplo prático narrado: O choque entre sala de aula e o caos ordenado do setor de internação .  Recapitulação: O cuidado não foca só na biologia.  Encerramento: A teoria ganha vida pelas suas mãos.",A Integralidade nas Práticas de Controle de Infecção.  +4
Técnico em Enfermagem,Prática Profissional e Atendimento Básico à Saúde,32,Protocolos Vivos,Aplicar fluxos organizacionais na prática assistencial para uniformização do cuidado.,"Introdução ao tema: Transformar rotinas de papel em ações vitais.Fundamentação teórica: Normatizações internas e protocolos para estabelecer competências e padronizar práticas .  +2Aplicação prática: Uso do checklist do cateter ou protocolo de radiologia para prevenir falhas sequenciais .  +4Erros comuns: O profissional imprimir ""dimensão pessoal"" ignorando o protocolo técnico da instituição (ex: puncionar sem luva) .  +3Resumo final: Protocolos de saúde só protegem o paciente se o profissional executá-los com rigor sem pular etapas de segurança.  +3",Normatização; Segurança do Paciente.  +3,"Lavar o glicosímetro com álcool 70 e SEMPRE calçar luva antes de puncionar, conforme as regras da unidade.  ","1. Relate o perigo de imprimir uma ""técnica pessoal"" desrespeitando as normas de biossegurança de um protocolo oficial.  +2",Alto,Aula 31,14 minutos,"Abertura: ""O protocolo não é burocracia, é um mapa de voo seguro.""Explicação didática progressiva: A uniformização das ações e a importância de checklists .  +2Exemplo prático narrado: A profissional que coletou glicemia sem luvas vs. a técnica asséptica impecável .  +2Recapitulação: Fugas de rotinas são atalhos perigosos.  Encerramento: Confie e obedeça ao protocolo da instituição.",Controle de Infecção / Prevenção MS.  +3
Técnico em Enfermagem,Prática Profissional e Atendimento Básico à Saúde,33,Mão na Massa e Registro,Consolidar a capacidade de documentar tudo o que for procedido com o paciente.,"Introdução ao tema: A anotação clínica in loco.Fundamentação teórica: Os registros representam comunicação formal essencial para o processo do cuidado humano e planejamento .  +2Aplicação prática: Anotar as atividades de assistência (diagnósticos, procedimentos, intercorrências) nos relatórios com assinatura e Coren .  +3Erros comuns: Negligenciar as anotações, reduzindo o histórico a rascunhos informais que se perdem .  Resumo final: Prontuário fidedigno espelha as reais condições do paciente e respalda o profissional em auditorias.  +4",Auditoria e Avaliação; Comunicação Escrita.  +1,"Detalhar na evolução o aspecto de uma ferida, volume e característica de eliminação, e mudança de decúbito.  ","1. Por que o Livro de Relatório de Enfermagem é considerado parte da ""materialidade"" vital do setor?.  +1",Alto,Aula 32,15 minutos,"Abertura: ""A sua palavra final como profissional fica eternizada na sua evolução.""Explicação didática progressiva: A anotação como controle de qualidade e fins estatísticos .  +1Exemplo prático narrado: Discriminando sequencialmente o estado neurológico, respiratório e as eliminações na passagem .  +2Recapitulação: Assinatura, data e Coren são obrigatórios.  Encerramento: Faça acontecer, anote com perfeição.",Integralidade nas Práticas / Recomendações Cofen.  +2
Técnico em Enfermagem,Prática Profissional e Atendimento Básico à Saúde,34,Erros Inaceitáveis no Estágio,Evitar imperícias perigosas que afetam a higiene e a terapêutica direta.,"Introdução ao tema: Limites do aprendizado beira-leito.Fundamentação teórica: O processo de cuidar exige intuição aliada ao pensamento crítico, vedada a imprudência .  Aplicação prática: Descartar perfurocortantes corretamente no ""Descarpack"" e lavar as mãos de forma padronizada entre pacientes .  +3Erros comuns: Acomodar medicamentos em pias, usar caixas improvisadas para agulhas ou realizar coletas com as mãos desprotegidas .  +2Resumo final: Omissões de materiais, não utilizar EPI ou realizar atos com descuido violam toda a ética da profissão e põem todos em risco.  +3",Perfurocortante; Contaminação.  +2,Descartar conectores injetores em descarpack adequado e aplicar álcool 70 antes de infundir um soro novo.  +3,1. Qual erro biosseguro crasso é exemplificado pela funcionária que colheu sangue sem luvas e largou a agulha solta?.  +3,Intermediário,Aula 33,11 minutos,"Abertura: ""O estágio não é desculpa para cometer irresponsabilidades de biossegurança.""Explicação didática progressiva: Os horrores do descarte improvisado e a pressa no plantão .  Exemplo prático narrado: Administrando medicamentos sem enluvar as mãos num cenário precário .  +2Recapitulação: Controle da infecção com lavagem constante.  Encerramento: Biossegurança em primeiro lugar, sempre.",Integralidade UTI / Prevenção ANVISA.  +2
Técnico em Enfermagem,Prática Profissional e Atendimento Básico à Saúde,35,Resumo: Profissional Formado,"Compreender a enfermagem como o equilíbrio de ética, relações e saberes.","Introdução ao tema: O valor do cuidado técnico humanizado.Fundamentação teórica: A ética na enfermagem é o ramo que enfatiza o relacionamento, manutenção da dignidade e cuidado colaborativo .  +1Aplicação prática: Cuidar do paciente e da família com autonomia e justiça social na equipe .  Erros comuns: Descartar o aspecto social e emocional após realizar somente as ""tarefas"" procedimentais do plantão .  Resumo final: A união da técnica perfeita (preparo de medicações, sinais, higienização) com a presença humana é o pilar da excelência formativa.  +1",Ética relacional; Dignidade e Colaboração.,Assumir o cuidado direto num turno contínuo mantendo a empatia técnica sob pressão.  +2,1. Diferencie a profissão de enfermagem perante as outras usando o conceito de 'dimensão humana e contato nas 24h'.  +3,Básico,Aula 34,10 minutos,"Abertura: ""Chegou o momento: você carrega a responsabilidade de ser Enfermagem.""Explicação didática progressiva: A profissão como maior força de trabalho focada no ser humano integral .  +2Exemplo prático narrado: Supervisionando a saúde física e as aspirações espirituais e sociais do enfermo .  Recapitulação: A ética da beneficência no fim da jornada de estágio.  +2Encerramento: Vá para o mercado e transforme vidas.",Integralidade nas Práticas / Ética.  +2
Técnico em Enfermagem,Letramento Digital,36,O Fim do Papel,Transição para a cultura informatizada nos hospitais.,"Introdução ao tema: A informática mudando a organização documental.Fundamentação teórica: Informática em saúde promovendo a educação, integração de dados e pesquisas hospitalares modernas .  +2Aplicação prática: Uso do prontuário eletrônico do paciente para registrar medicações e evitar erros de medicação causados por caligrafia confusa .  +2Erros comuns: Resistência à tecnologia e demora no lançamento das atividades estatísticas ou de evolução em sistemas .  Resumo final: O letramento digital é obrigatório para não perder a sintonia com os prontuários ágeis dos grandes centros.  +3",Prontuário eletrônico; Atualização digital.  +4,Registrar no tablet do hospital as atividades diárias do paciente para controle estatístico imediato.,1. Por que as escolas e hospitais devem utilizar recursos tecnológicos (EaD e Software) no cuidado e ensino do enfermeiro?.  +2,Básico,N/A,10 minutos,"Abertura: ""A caneta cedeu lugar ao teclado; e isso salva mais rápido.""Explicação didática progressiva: A evolução da informática no SUS e registros em terminais de computador .  +3Exemplo prático narrado: Diminuindo o risco de erro médico devido à ""letra feia"" (ausência de compreensão).  +2Recapitulação: Agilidade no acesso ao prontuário.Encerramento: Domine o sistema, facilite seu trabalho.",Portal Anatomia Aplicada/ Registros.  +2
Técnico em Enfermagem,Letramento Digital,37,Prontuários e LGPD,Respeitar as leis de tráfego de informação médica digital (sigilo).,"Introdução ao tema: O paciente no ambiente digital e a Lei de Proteção de Dados.Fundamentação teórica: A segurança das mídias, sigilo das informações e os impactos cíveis de descumprimentos éticos .  +2Aplicação prática: Não veicular, por áudios de WhatsApp, a condição de um internado, garantindo proteção estrita da informação .  +3Erros comuns: Divulgar ou fotografar procedimentos hospitalares para postar nas redes sociais .  +1Resumo final: O uso de prontuários em rede ou aplicativos no posto impõe rigor supremo com o tráfego dos dados de pessoas internadas.  +2",Vazamento Eletrônico; Segurança Cível e Penal.  +2,Evitar acessar o PEP de um familiar ou enviar exames via rede social que identifique o leito.  +2,"1. O que o conselho de ética diz sobre ""expor a figura do paciente como divulgação técnica"" na internet?.  +2",Intermediário,Aula 36,13 minutos,"Abertura: ""A sua tela de trabalho é território restrito.""Explicação didática progressiva: As penalidades éticas para fotos em UTI, WhatsApp no setor e prontuários .  +3Exemplo prático narrado: A demissão de profissionais por vazamentos sensacionalistas no plantão.  Recapitulação: Cuidado e restrição absoluta de acesso.Encerramento: Sigilo é lei no papel e na internet.",Coren-RJ Redes / Recomendações Cofen.  +2
Técnico em Enfermagem,Letramento Digital,38,Operando Ferramentas Clínicas,Desenvolver habilidades comunicacionais por intermédio da tecnologia.,"Introdução ao tema: Teleconsulta e gestão clínica em tela.Fundamentação teórica: A telessaúde e a teleconsulta surgem como novas ferramentas de atenção primária baseadas na comunicação guiada .  +1Aplicação prática: Optar pelo uso da vídeo-chamada para manter os serviços em funcionamento e observar um mínimo de comunicação não verbal .  Erros comuns: Executar consultas por texto (mensagem) limitando a avaliação comportamental/física que previne riscos .  +1Resumo final: O enfermeiro deve aprender a realizar triagem digital preenchendo todos os módulos (histórico, prescrição) na tela.  ",Teleconsulta; Tecnologias TIC.  +1,"Conduzir uma triagem em saúde primária através de videoconferência, permitindo ao paciente o ""minuto de ouro"" para se expressar.  +2","1. Por que, ao utilizar ferramentas TIC para teleconsultas, o enfermeiro deve priorizar a vídeo-chamada e não textos?.  ",Alto,Aula 37,14 minutos,"Abertura: ""A saúde chega ao celular do paciente: a revolução da teleconsulta.""Explicação didática progressiva: Os desafios de reestruturação do acesso no SUS na era remota .  +1Exemplo prático narrado: Uma teleconsulta para orientações usando vídeo para suprir o contato presencial.  Recapitulação: Os registros dos achados da câmera diretamente no software.Encerramento: A tecnologia rompe a distância da clínica.",Guia UFPEL Comunicação.  +1
Técnico em Enfermagem,Letramento Digital,39,Os Hackers e as Falhas Humanas,Mitigar vazamentos acidentais pela má gestão digital dentro da rotina.,Introdução ao tema: Educação em segurança da informação no setor.Fundamentação teórica: A vulnerabilidade das tecnologias desenvolvidas (softwares) e das tecnossocialidades .  +3Aplicação prática: Controlar os logins dos sistemas oficiais de validação de leitos para não expor a arquitetura de banco de dados .  +2Erros comuns: Deixar a estação (computador do posto) logada com sua credencial após preencher os relatórios .  +2Resumo final: Ferramentas síncronas de gerenciamento demandam o uso correto de logins próprios (intransferíveis) e ética rigorosa de acesso.  +3,Acesso Restrito; Tecnossocialidade.  +2,"Realizar logout absoluto da máquina na UTI ao terminar de evoluir um paciente, impedindo edições indevidas por terceiros no seu nome.  +2","1. O que é ""tecnossocialidade"" e como a equipe pode utilizá-la positivamente para resolver conflitos de dúvidas de forma segura?.  +2",Intermediário,Aula 38,12 minutos,"Abertura: ""O seu login é a sua assinatura criminal digital.""Explicação didática progressiva: Vulnerabilidades em sistemas online hospitalares .  +3Exemplo prático narrado: O risco de compartilhar senhas e a tecnossocialidade mal aplicada.  +2Recapitulação: Protegendo a rede hospitalar de ""insiders"".Encerramento: Proteja seus dados como protege seus pacientes.",Portal Anatomia Aplicada / Segurança do Profissional.  +2
